Start Date,End Date,Length of Lease,Lease Sizes,Country,State,State Category,Zip Code,Regions,Rentable Sqft,Usable Sqft,Structured Parking Spaces,Surface Parking Spaces,Surface Sizes,Rent Amount
2016-03-23,2026-03-22,3651,Long 3000-4999,US,MD,Other,20814,Region 2,27714.0,24007.0,4,0,Small 0-49,1229751.03
2022-02-08,2032-02-07,3651,Long 3000-4999,US,DC,Other,20037,Region 2,19528.0,16834.0,17,0,Small 0-49,1152442.84
2017-12-01,2032-11-30,5478,Very Long 5000-15000,US,CA,CA,90245,Region 9,99677.0,87265.0,2,0,Small 0-49,4889613.32
2017-05-01,2027-04-30,3651,Long 3000-4999,US,MD,Other,21046,Region 2,34136.0,29915.0,0,95,Large 50-99,1769434.59
2023-02-09,2032-02-07,3285,Long 3000-4999,US,DC,Other,20007,Region 2,0.0,0.0,10,0,Small 0-49,45900.0
2022-07-01,2032-06-30,3652,Long 3000-4999,US,CA,CA,94104,Region 9,27100.0,26755.0,0,25,Small 0-49,535710.94
2024-03-01,2039-02-28,5477,Very Long 5000-15000,US,CA,CA,94104,Region 9,17500.0,17500.0,0,0,Small 0-49,411459.04
2012-05-01,2025-04-30,4747,Long 3000-4999,US,GA,Other,30097,Region 3,0.0,0.0,88,0,Small 0-49,619977.6
2013-03-14,2026-09-13,4931,Long 3000-4999,US,DC,Other,20005,Region 2,33490.0,29639.0,0,0,Small 0-49,1712140.62
2015-11-25,2025-11-24,3652,Long 3000-4999,US,DC,Other,20001,Region 2,200432.0,178158.0,0,0,Small 0-49,9535355.89
2019-03-25,2029-03-24,3652,Long 3000-4999,US,DC,Other,20018,Region 2,54.0,54.0,0,0,Small 0-49,26680.0
2011-02-16,2026-02-15,5478,Very Long 5000-15000,US,DC,Other,20024,Region 2,76200.0,63500.0,0,0,Small 0-49,3608725.92
2015-06-30,2025-06-29,3652,Long 3000-4999,US,TX,TX,77002,Region 7,152872.0,137536.0,7,0,Small 0-49,6990732.69
2016-04-01,2026-03-31,3651,Long 3000-4999,US,OH,Other,43240,Region 4,33675.0,28901.0,0,0,Small 0-49,2143084.19
2016-04-08,2026-04-07,3651,Long 3000-4999,US,DC,Other,20005,Region 2,22424.0,19212.0,0,0,Small 0-49,1282132.04
2012-06-07,2027-06-06,5477,Very Long 5000-15000,US,DC,Other,20006,Region 2,95242.0,85303.0,11,0,Small 0-49,4636297.74
2015-08-20,2025-08-19,3652,Long 3000-4999,US,DC,Other,20006,Region 2,73959.0,61351.0,0,0,Small 0-49,2948464.57
2015-05-16,2025-05-15,3652,Long 3000-4999,US,DC,Other,20036,Region 2,0.0,0.0,0,0,Small 0-49,42000.0
2012-05-01,2027-04-30,5477,Very Long 5000-15000,US,DC,Other,20036,Region 2,300044.0,255965.0,75,0,Small 0-49,15535916.7
2023-01-14,2043-01-13,7304,Very Long 5000-15000,US,DC,Other,20036,Region 2,217000.0,181132.0,1,0,Small 0-49,9070360.55
2021-06-01,2026-05-31,1825,Medium 1000-2999,US,DC,Other,20007,Region 2,0.0,0.0,58,0,Small 0-49,205901.0
2016-02-01,2026-01-31,3652,Long 3000-4999,US,DC,Other,20011,Region 2,87300.0,85010.0,0,124,XLarge 100-249,2918240.45
2022-05-01,2037-10-31,5662,Very Long 5000-15000,US,DC,Other,20005,Region 2,186198.0,152553.0,0,0,Small 0-49,9103266.76
2024-03-01,2039-02-28,5477,Very Long 5000-15000,US,DC,Other,20005,Region 2,56352.0,46152.0,2,0,Small 0-49,2671536.04
2014-03-01,2024-12-31,3958,Long 3000-4999,US,DC,Other,20005,Region 2,259130.0,212224.0,10,0,Small 0-49,11466504.9
2024-03-01,2039-02-28,5477,Very Long 5000-15000,US,DC,Other,20005,Region 2,59778.0,48956.0,3,0,Small 0-49,2833958.33
2019-09-01,2029-08-31,3652,Long 3000-4999,US,NJ,Other,07960,Region 0,18761.0,15691.0,0,0,Small 0-49,936951.91
2018-10-18,2033-10-17,5478,Very Long 5000-15000,US,DC,Other,20005,Region 2,240308.0,207282.0,2,0,Small 0-49,10427584.5
2023-05-01,2038-04-30,5478,Very Long 5000-15000,US,DC,Other,20005,Region 2,78254.0,70939.0,172,0,Small 0-49,3613800.88
2021-12-15,2036-12-14,5478,Very Long 5000-15000,US,NY,NY,10017,Region 1,310477.0,260762.0,72,0,Small 0-49,16390692.0
2006-09-08,2026-09-07,7304,Very Long 5000-15000,US,DC,Other,20002,Region 2,70386.0,60993.0,0,0,Small 0-49,3203486.77
2018-10-09,2033-10-08,5478,Very Long 5000-15000,US,DC,Other,20002,Region 2,163430.0,139415.0,10,0,Small 0-49,7995976.21
2015-01-01,2024-12-31,3652,Long 3000-4999,US,DC,Other,20002,Region 2,414.0,356.0,0,0,Small 0-49,18535.21
2011-06-07,2026-06-06,5478,Very Long 5000-15000,US,CA,CA,90067,Region 9,241398.0,209826.0,0,0,Small 0-49,14467153.4
2022-08-08,2037-08-07,5478,Very Long 5000-15000,US,CA,CA,90067,Region 9,14217.0,12421.0,5,0,Small 0-49,742425.24
2009-07-01,2030-06-30,7669,Very Long 5000-15000,US,DC,Other,20006,Region 2,390670.16,296321.25,223,0,Small 0-49,20989424.4
2016-02-13,2026-02-12,3652,Long 3000-4999,US,CA,CA,94104,Region 9,106558.0,104661.0,0,0,Small 0-49,1949899.15
2019-12-19,2029-12-18,3652,Long 3000-4999,US,DC,Other,20005,Region 2,2149.0,1868.0,0,0,Small 0-49,107185.88
